Curso,"Categoría
Local, Autonómica, Nacional, Universidad",CCAA,Provincia,Localidad,Convocante,Plazas,Boletín,Publicación,"Instancias
00/00/00-00/00/00","Tipo
Oposición/Concurso-Oposición/Bolsa","¿Bolsa?
SI/NO",ID,Material,Activa/inactiva,"Simulacro
SI/NO ",Fecha simulacro,Inscritos,Enlace general sgto,"Sgto especial
SI/NO",Fecha última revisión,Estado,"Listas provisionales
Fecha",LP publicadas en,LP enlace si hay,"Listas definitivas
Fecha",LD publicadas en,LD enlace si hay,Tipo ejercicio 1,Fecha ejercicio 1,Listas aprobados,Enlace si hay,Aprobados,Tipo ejercicio 2,Fecha ejercicio 2,Listas aprobados,Enlace si hay,Aprobados,Tipo ejercicio 3,Fecha ejercicio 3,Listas aprobados,Enlace si hay,Aprobados,Tipo ejercicio 4,Fecha ejercicio 4,Listas aprobados,Enlace si hay,Aprobados,Entran en bolsa,Obtiene plaza
TBS,Local,País Vasco,Vizcaya,Santurzi,Ayuntamiento de Santurzi,1,BOE 01/12/2020,BOB 18/11/2020,02/12/2020-21/12/2020,Concurso-oposición,no,65931,M095201,,no,,14,https://www.santurtzi.net/es-ES/santurtzilan/Recursos-Humanos/Paginas/Personalfijo.aspx,,9/5/2024,convocatoria,,,,,,,Desarrollo,,,,,caso práctico,,,,,test,,,,,,,,,,,
TBS,Local,C. Valenciana,Alicante,Novelda,Ayuntamiento de Novelda,0,BOP 02/11/2020,5/11/2020,03/11/2020-17/11/2020,Concurso-oposición,SI,64998,M092380,,no,,7,http://novelda.es/informacion-al-ciudadano/procesos-personal,http://www.novelda.es/empleo/bases-reguladoras-de-la-convocatoria-para-la-constitucion-de-una-bolsa-de-trabajador-a-social-del-ayuntamiento,14/6/2024, Anuncio revisión fase concurso / Revisión fase concurso /Resultados fase concurso (incl.3 PARTES: entrevista-competencias) 3º ex. Competencias 21/03/2022 /Notas 2º EXAMEN 25/10/2021,27/4/2021,web,http://novelda.es/wp-content/uploads/2021/04/Lista-provisional-de-admitidos-trabajador-social.pdf,7/6/2021,web,http://novelda.es/wp-content/uploads/2021/06/Resoluci%C3%B3n-lista-admitidos-Trabajador-Social-1.pdf,test,22/6/2012,,http://novelda.es/wp-content/uploads/2021/06/Resoluci%C3%B3n-lista-admitidos-Trabajador-Social-1.pdf,2,caso práctico,25/10/2021,23/11/2021,,1,entrevista 1º parte (competencias),3/3/2022,,,1,entrevista 2º parte (supuesto ficticio),21/3/2022,,,1,,
TBS,Local,Cataluña,Tarragona,Tarragona,Ayuntamiento,3,web,20/12/2019,,concurso-oposicón,si,,M068860,,no,,3,https://seu2.tarragona.cat/ofertaPublicaCategoriaPublic/listPublicacionsAmbCategoria?categoria.id=346&offset=0&max=10,https://seu2.tarragona.cat/ofertaPublicaCategoriaPublic/categories?tipus=Personal_fix&estat=&text=&dataOfertaPublicaFilter=&ordreOfertaPublicaFilter=&max=10&offset=100,14/5/2024,convocatoria,,,,,,,test,,,,,catalán/castellano,,,,,caso práctico,,,,,,,,,,,
TBS,Local,Madrid,Madrid,Pinto,Ayuntamiento,0,web ayuntamiento,29/1/2020,,Concurso-oposición,si,,M069340,,no,,3,https://www.ayto-pinto.es/trabajador-a-social-y-educador-a-social,,7/5/2024, LD 2020 y paralizada / Modificación tribunal,9/3/2020,,,9/3/2020,web,https://www.ayto-pinto.es/documents/20912/1477684/LISTA+DEFINITIVA+ADMITIDOS+TRABAJO+SOCIAL/62dbb6c9-18b0-4584-8043-864df04e39b3,Test,,,,,,,,,,,,,,,,,,,,,
TBS,Local,C. Valenciana,Valencia,Manc. Costera Canal,Mancomunidad,0,BOP 14/08/2020,22/6/2020,17/08/2020-11/09/2020,,si,61366,M081520,,no,,,https://lacosteracanal.sede.dival.es/,,14/6/2024,último no sale nada / LD 02/2021,12/2/2021,web,https://www.lacosteracanal.es/sites/www.lacosteracanal.es/files/20210208_Publicaci%C3%B3_Edicte_EDICTE%20DE%20PUBLICACI%C3%93%20DEL%20LLISTAT%20DEFINITU%20DE%20PERSONES%20ADMESES%20I%20EXCLOSES%20DEL%20PROC%C3%89S%20SELECTIU%20TREBALLADORS-ES%20SOCIALS%281%29_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
TBS,Local,Andalucía,Sevilla,Lebrija,Ayuntamiento,0,BOP 24/05/2021,24/5/2021,25/05/2021-13/06/2021,Oposición,si,71108,M12600,,no,,,http://www.lebrija.es/es/temas/empleo/programas-vigentes/ofertas-de-empleo/,https://sede.lebrija.es/opencms/opencms/sede#,9/5/2024,convocatoria,21/6/2021,web,,,,,Test,,,,,,,,,,,,,,,,,,,,,
TBS,Autonómica,Madrid,Madrid,,SERMAS,82,BOCM 24/06/202124/06/2021,,25/06/2021-26/07/2021,Concurso oposición,no,72127,M117940,,si,NOTAS,48,https://www.comunidad.madrid/servicios/salud/pruebas-selectivas-trabajador-social-2021,,27/5/2024,Aprobados y fase méritos / Aprobados examen 03/03/2024 / Modifican Tribunal / Composición tribunal / LP,2/3/2022,,,19/1/2024,,,Test,3/3/2024,13/5/2024,https://www.comunidad.madrid/sites/default/files/doc/sanidad/rrhh/rrhh-ope-trabajador_social2021-2024-05-13-aprobados_a.pdf,17,NA,,,,,NA,,,,,NA,,,,,,
TBS,Local,Cantabria,Cantabria,Santander,Ayuntamiento de Santander,8,BOE nº 162 08/07/2021,8/7/2021,09/07/2021-29/07/2021,Concurso-oposición,,72525,M121680,,,,,http://santander.es/ayuntamiento/estructura-administrativa/oferta-empleo-publico/trabajador-social-convocatoria,https://sede.santander.es/publicaciones/ofertas-empleo-publico?combine=social,7/5/2024,convocatoria,,,,,,,Test+desarrollo,,,,,caso practico,,,,,,,,,,,,,,,,
TBS,Local,Canarias,Tenerife,Arona,Ayuntamiento ,1 + bolsa,BOPO 06/10/2021,BOP 06/10/2021,07/10/2021-05/11/2021,concurso-oposición,,74882,M127300,,,,,http://ayuntamientodearona.es/Tu-Ayuntamiento/Ayuntamiento-de-Arona/Empleo-Publico/Gestion-Empleo-Publico/ctl/Ver/mid/2843?id=84066,https://sta.arona.org/sta/CarpetaPublic/doEvent?APP_CODE=STA&PAGE_CODE=TABLON,7/5/2024,convocatoria,,,,,,,test,,,,,práctico test,,,,,,,,,,,,,,,,
TBS,Autonómica,Madrid,Madrid,,Comunidad Madrid,216 (193 que amplían),BOCM 10/11/2021,BOCM 10/11/2021,11/11/2021-10/12/2021,Concurso oposición,,75679, M129980,,si,,74,https://www.comunidad.madrid/servicios/empleo/asistentes-sociales-a2-estabilizacion,,13/6/2024,notas 2º examen 13/01/2024 / Notas 1º examen 15/07/2023,24/3/2023,boletín,https://www.bocm.es/boletin/CM_Orden_BOCM/2023/03/24/BOCM-20230324-13.PDF,5/5/2023,web,,Test,15/7/2023,2/11/2023,https://www.comunidad.madrid/sites/default/files/aud/empleo/470-2021_aprobados_1_ejercicio_sin_firma.pdf,11,Caso práctico,13/1/2024,12/6/2024,https://www.comunidad.madrid/sites/default/files/aud/empleo/470-2021_aprobados_2_ejercicio_sin_firma.pdf,6,,,,,,,,,,,,
